"","Group.1","x"
"1","Mell",178500
"2","O'Connor",175359.42
"3","Burke",729900.2
"4","Moore",223581.34
"5","Suarez",451862.73
"6","Munoz",233683.9
"7","Maldonado",266610
"8","Laurino",159599.73
"9","Burnett",125318.08
"10","Austin",183366.81
"11","Solis",6900
"12","Zalewski",124705.97
"13","Hairston",191490.53
"14","Pope",332127.24
"15","Beale",152225.21
"16","Chandler",55902.4
"17","Osterman",245622.9
"18","Mitts",78349.6
"19","Thomas",164413.73
"20","Thompson",383915.79
"21","Graham",234347.33
"22","Dowell",163241.62
"23","Brookins",111675
"24","Colon",152694.44
"25","Tunney",181161.88
"26","Reboyras",48050
"27","Cardenas",208445.73
"28","Balcer",27553.2
"29","Reilly",1029198.3
"30","Smith",437549.75
"31","Cappleman",146879.46
"32","Sposato",57623
"33","Cochran",124823.06
"34","Waguespack",99461.08
"35","Lane",72056.84
"36","Jackson",29700
"37","Foulkes",265863.34
"38","Mary O'Connor",118333.59
"39","Burns",356941.04
"40","Moreno",116470
"41","Fioretti",290278.59
"42","Pawar",86368
"43","Arena",217676.11
"44","Sawyer",123781
"45","O'Shea",173005.11
"46","Silverstein",359359.48
"47","Cullerton",441257.04
"48","Ervin",132687.18
"49","Quinn",53067.13
